Name,Price
1 uF 50V Electrolytic Capacitor,3.00
1-8S LiPo Battery Voltage Tester Low Volt Alarm Buzzer And LED,165.00
10 ohm Resistor - 1/4 Watt - 5 Pieces Pack,2.00
"10 Pieces of Double Ended Crocodile Clips Cable Alligator Clips Wire Testing, Multi Color",128.00
10 uF 25V Electrolytic Capacitor,3.00
"100 Pcs 5mm Ultra Bright LEDs Set (20 LEDs x White, Yellow, Red, Green, Blue)",453.00
100 uF 10V Electrolytic Capacitor,3.00
10000W SCR 110V/220V Voltage Regulator Motor Speed Controller Dimmer Thermostat,958.00
1000KV Brushless DC Motor & 30A Simonk ESC With 1045 Propeller Set,3723.00
100K NTC Thermistor Temperature Sensor with 1 Meter Wire for 3D Printer,65.00
100K Ohm 0.25W Metal Film Resistor,2.00
100R Ohm 0.25W Metal Film Resistor,2.00
"1045/1045R CW CCW Propeller Black, Set of 5",346.00
"1045/1045R CW CCW Propeller, Black",73.00
"1045/1045R CW CCW Propeller, Black, Set of 2",141.00
10K Electronic Sliding Potentiometer Module Adjustable Potentiometer Module,150.00
10K Ohm 0.25W Metal Film Resistor,2.00
10R Ohm 0.25W Metal Film Resistor,2.00
1200W 20A DC Converter Boost Step-up 8-60V To 12-83V Power Supply Module,1080.00
120K Ohm 0.25W Metal Film Resistor,2.00
120R Ohm 0.25W Metal Film Resistor,2.00
12K Ohm 0.25W Metal Film Resistor,2.00
12V 2A Power supply Adapter charger with 5.5mm DC Plug Adapter,290.00
12V SPDT PCB Mount Sugar Cube Relay Switch,25.00
12x12x12mm 4 Pin PCB Momentary Tactile Tact Push Button Switch 10PCS,48.00
12x12x7.3mm Tactile Push Button Switch,7.00
150K Ohm 0.25W Metal Film Resistor,2.00
150R Ohm 0.25W Metal Film Resistor,2.00
150W DC-DC Boost Converter 10-32V to 12-35V 6A Step Up Voltage Power Supply Module,237.00
15K Ohm 0.25W Metal Film Resistor,2.00
16 Pin DIP IC Socket Base Adaptor (IC Base),5.00
"17 Stepper Motor, 4 Lead Stepper Motor 17 Motor with 1m Cable 42BYGH 38MM 1.5A (17HS4401S) for CNC XYZ 3D Printer",0.00
180 ohm Resistor - 1/4 Watt,3.00
180K Ohm 0.25W Metal Film Resistor,2.00
18650 battery 1200 mah rechargeable lithium-ion battery,115.00
18K Ohm 0.25W Metal Film Resistor,2.00
1K Ohm 0.25W Metal Film Resistor,2.00
1K5 Ohm 0.25W Metal Film Resistor,2.00
1K8 Ohm 0.25W Metal Film Resistor,2.00
1M Ohm 0.25W Metal Film Resistor,2.00
1M USB to Micro USB Cable wire for NodeMCU,48.00
1N4007 1W Diode,5.00
1N4148 Diode,2.00
1R Ohm 0.25W Metal Film Resistor,2.00
1S 18650 Li-po Lithium Battery Capacity Indicator Module,108.00
2 Axis Pan Tilt Brackets For SG90 and MG90 Servo Motor,124.00
2 Pcs 6x8 cm Double Sided Universal PCB Prototype Board,90.00
2.2k Ohm 0.25W Resistor,1.00
"2.4 inch TFT LCD Touch Display Shield for Arduino Uno 240x320 65K RGB Color Display Module, Red",678.00
20pcs 20cm Male to Female Breadboard Dupont Wires Jumper Cables for Arduino Raspberry Pi,50.00
22 Ohm 0.25W Metal Film Resistor (Pack of 100),26.00
220K Ohm 0.25W Metal Film Resistor,2.00
220R Ohm 0.25W Metal Film Resistor,2.00
22K Ohm 0.25W Metal Film Resistor,2.00
22R Ohm 0.25W Metal Film Resistor,2.00
25 Pcs/set Tactile Switch Push Button Micro Momentary Tact Assortment Kit,146.00
250 Pcs Resistor Kit - 25 Values,110.00
270R Ohm 0.25W Metal Film Resistor,2.00
27K Ohm 0.25W Metal Film Resistor,2.00
28ybj-48 DC 5V 4 Phase 5 Wire Stepper Motor With ULN2003 Driver Board,152.00
2N2222A NPN Bipolar Transistor,4.00
2N3904 NPN General Purpose Transistor,3.00
2N3906 PNP General Purpose Transistor,2.00
30A Brushless DC Electronic Speed Controller ESC (Set of 4),2183.00
30A Brushless DC ESC Electronic speed controller,555.00
30A Brushless DC ESC Simonk Electronic speed controller,565.00
30W Mini-360 DC-DC Buck Converter Step Down Power Module 4.75V-23V to 1V-17V,64.00
320PCS M3 Male Female Nylon Hex Spacer Standoff Screw Nut Threaded Pillar PCB Motherboard Assorted Assortment Kit,0.00
33 Ohm 0.25W Metal Film Resistor (Pack of 100),31.00
3300 mAH LiPo Li-Polymer Battery,2234.00
330K Ohm 0.25W Metal Film Resistor,2.00
330K ohm Resistor 1/4 Watt with 1% tolerance,2.00
330R Ohm 0.25W Metal Film Resistor,2.00
33K Ohm 0.25W Resistor,2.00
33R Ohm 0.25W Metal Film Resistor,2.00
360 Rotary Decoder Encoder Module KY-040 Arduino Compatible Or Speed and Direction Measurement Sensor Module,85.00
"37 in 1 Ultimate Sensor Modules Kit for Arduino Uno R3, Mega 2560, Raspberry Pi and All Microcontrollers, White",1344.00
390 ohm Resistor - 1/4 Watt,3.00
390K Ohm 0.25W Metal Film Resistor,2.00
390K ohm Resistor - 1/4 Watt,2.00
390R Ohm 0.25W Metal Film Resistor,2.00
3D Printer Parts Spring For Heated Bed MK3 CR-10 Hotbed Imported,34.00
3D Printer THSL-400-8D Lead Screw Dia 8MM Pitch 2mm Lead 4mm Length 400mm with Copper Nut,320.00
3dBi Magnetic Mount Antenna for GSM FCT Device (10 Feet/3 Meter Long),138.00
3K3 Ohm 0.25W Metal Film Resistor,2.00
"3V - 5V TCS230 TCS3200 Detector Module Colour Recognition Sensor for Arduino, Arm and Other MCU",577.00
4 Channel Isolated 5V 10A Relay Module With Optocoupler For PIC AVR DSP ARM Arduino,165.00
4 Pcs x A2212 1400KV Brushless DC Motor and 4 Pcs x 30A ESC With 2 Sets x 1045 Propeller,4715.00
"4 Pcs x Wheel for BO Motor - 65mm Rubber Wheels, Yellow (BO Wheels)",149.00
4 Way IR 4 Channel Infrared Detector Transmission Line Sensor Arduino,177.00
"4 x DC BO Dual Shaft Smart Car Robot Gear Motor For Arduino, (Pack of 4)",238.00
"4 x Dual Shaft BO Motor With Wheel, Black and Yellow, 4 Sets (Combo)",347.00
4.7k Ohm 0.25W Resistor,1.00
40 Pin 2.54mm Male and Female Pin Headers/Berg Strips for Arduino (Pack of 15 Each),266.00
"40 Pin Single Row Female Pin Header Connector Strip (2.54Mm Pitch) , Black, Pack of 10",195.00
40-pin Strip Dual Male Header PITCH 2.54MM,11.00
"400 Tie Points Solderless Self-Adhesive Breadboard Nickel Plated Bread Board Or Solderless Pieces PCB Circuit Test Board, Project Board for DIY Projects",62.00
"4000W 220V AC SCR Voltage Regulator Dimmer Electric Motor Speed Controller, Silver",380.00
4010 Cooling Fan For 3D Printer Parts DC 12V Size 2pin,78.00
40pcs 30cm Female to Female Breadboard Dupont Wires Jumper Cables for Arduino Raspberry Pi,73.00
40pcs 30cm Male to Female Breadboard Dupont Wires Jumper Cables for Arduino Raspberry Pi,60.00
40pcs 30cm Male to Male Breadboard Dupont Wires Jumper Cables for Arduino Raspberry Pi,71.00
47 Ohm 0.25W Metal Film Resistor (Pack of 100),36.00
470 Ohm 0.25W Resistor,3.00
470K Ohm 0.25W Metal Film Resistor,2.00
470K ohm Resistor - 1/4 Watt,2.00
470R Ohm 0.25W Metal Film Resistor,2.00
47K Ohm 0.25W Metal Film Resistor,2.00
47R Ohm 0.25W Metal Film Resistor,2.00
4K7 Ohm 0.25W Metal Film Resistor,2.00
4x6 PCB General Purpose Printed Circuit Zero Board),24.00
5 m 10 Core Rainbow Color Flat Ribbon Wire Cable Electronic Components Electronic Hobby Kit,159.00
5 X PIR Motion Sensor Detector Module HC-SR501 (HCSR501) Pack of 5,456.00
"5 x TowerPro SG90 Micro Servo Motor, Blue ( 5 Pcs )",766.00
5.1V Zener Diode - 250mW,1.00
5.6K ohm Resistor - 1/4 Watt,3.00
50Kg Pressure Micro Scale Weighing Resistance Strain Half-bridge Experiments Body Scale Load Cell Sensor,66.00
56 ohm Resistor - 1/4 Watt - 5 Pieces Pack,2.00
560 ohm Resistor - 1/4 watt,3.00
560K Ohm 0.25W Metal Film Resistor,2.00
560k ohm Resistor - 1/4 watt,3.00
560R Ohm 0.25W Metal Film Resistor,2.00
56K Ohm 0.25W Metal Film Resistor,2.00
56K ohm Resistor - 1/4 watt,3.00
56R Ohm 0.25W Metal Film Resistor,2.00
5K Ohm 0.25W Metal Film Resistor,2.00
5K ohm Variable Resistor - Trimpot (RM065 Package),6.00
5K6 Ohm 0.25W Metal Film Resistor,2.00
5mm Multicolor Slow Blinking Dynamics LED Diode Lights (Flashing Round DC) Bright Lighting Bulb Lamps Electronics Components Flicker Light Emitting Diodes - 250 Pieces,250.00
5mm RGB Multicolor Slow Blinking Dynamics LED Diode Lights (Flashing Round DC) Bright Lighting Bulb Lamps Electronics Components Flicker Light Emitting Diodes - 20 Pieces Each Color,202.00
5Pcs A4988 Stepper Motor Driver with Heat Sink for 3D Printer,450.00
5V 2 Channel Relay Module Control Board With Optocoupler for Arduino,90.00
"5v 28byj-48 Stepper Motor and Uln2003 Stepper Motor Drive Test Module Board, Multi Colour",212.00
"5V 4 Channel Relay Control Board Module With Optocoupler, 4 Way Relay Module for Arduino DSP AVR PIC ARM, Blue",201.00
"5V 8 Channel Relay Control Panel PLC Relay Module With Optocoupler, 8 Way (8 CH)Relay Module for Arduino",379.00
5V Dual-Channel Relay Module Shield With Arduino,96.00
5V One Channel (1 CH ) Relay Board For Arduino,57.00
"6 In 1 Mini, Pir, Ultrasonic, Dht 11 Temperature, Ir Proximity1 Ultimate Sensor Modules Kit With Sound SensorUno R3, Mega 2560, Raspberry Pi and All Microcontrollers, Multi Colour",578.00
6-30V 1-Channel Power Relay Module with Adjustable Timing Cycle,280.00
6.8k Ohm 0.25W Resistor,3.00
60 Watt Glue Gun With 5 Glue Sticks Standard Temperature Corded Glue Gun,285.00
65 PIECES MALE TO MALE JUMPER WIRE,116.00
68 Ohm 0.25W Resistor,3.00
680 Ohm 0.25W Resistor,3.00
680K Ohm 0.25W Metal Film Resistor,2.00
680K ohm Resistor - 1/4 Watt,3.00
680R Ohm 0.25W Metal Film Resistor,2.00
68k Ohm 0.25W Resistor,3.00
68R Ohm 0.25W Metal Film Resistor,2.00
6K8 Ohm 0.25W Metal Film Resistor,2.00
6V - 12V DC 2 X Toy Hobby DC Motor 27x33mm + 60mm 2 X Blade Fan Propeller Prop Shaft DC Motor Hobby DIY Science Projects,108.00
750 ohm Resistor - 1/4 Watt,3.00
750R Ohm 0.25W Metal Film Resistor,2.00
"8 In 1 Mini Sensor Kit with PIR, Ultrasonic Sensor, IR Sensor, LDR, Rain Sensor, Sound Sensor, Mq- 2 Gas Sensor, DHT 11",796.00
82 ohm Resistor - 1/4 Watt,3.00
820 ohm Resistor - 1/4 Watt,3.00
820K Ohm 0.25W Metal Film Resistor,2.00
820K ohm Resistor - 1/4 Watt,3.00
820R Ohm 0.25W Metal Film Resistor,2.00
82K Ohm 0.25W Metal Film Resistor,2.00
82K ohm Resistor - 1/4 Watt,3.00
82R Ohm 0.25W Metal Film Resistor,10.00
"9 In 1 Mini Sensor Kit Pir, Ultrasonic Sensor, IR Sensor, LDR, Rain Sensor, Sound Sensor, Mq-2 Gas Sensor, DHT 11 and Joystick Module",755.00
9V Battery Snap-on Connector Clip with Wire Holder Cable Leads Cord - Pack of 10,70.00
A2212 1000KV Brushless DC Motor,577.00
A2212 1000KV Brushless DC Motor (Set of 4),2290.00
A2212 1000KV Brushless DC Motor With 30A ESC,1015.00
A2212 1000KV Brushless DC Motor With 30A ESC (Set of 4),4260.00
A2212 1400KV BLDC Motor (Set of 4),2290.00
A2212 1400KV BLDC Motor And 30A ESC (Set of 4),4200.00
A2212 1400KV BLDC Motor and 30A ESC Electric Speed Controller,1168.00
A2212 1400KV BLDC Motor and 30A ESC Electric Speed Controller with 1045 Propeller Set,1198.00
A2212 1400KV Brushless DC Motor,577.00
A2212 1400KV Brushless DC Motor (4 Pcs) And 30A ESC (Simonk) (4 Pcs) With 1045 Propeller (2 Set),4415.00
A2212 1800 KV BLDC Motor,577.00
A2212 2200KV BLDC Brushless Motor,583.00
"A4988 Stepper MotorDriver with Heatsink, 2A",126.00
Acrylic Case For XH-W1209 Temperature Control Module,51.00
ADXL335 Module 5V 3-axis Analog Output Accelerometer,438.00
Ai Thinker NodeMCU-32s – ESP32 ESP-WROOM-32 Development Board,790.00
Aluminum Alloy Heatsink Armor Case with Dual Cooling Fan for Raspberry Pi 4,870.00
Aluminum Heatsink Case for Raspberry Pi 4 - 4 Set,48.00
AMS1117-3.3 Voltage Regulator Step Down Power Supply Module,34.00
Anti-Vibration Shock Absorber for APM/KK/MWC/PixHawk,169.00
APM 2.8 Flight Controller 2.5 2.6 Upgraded with Built-in Compass for Multi copter RC Drone Aircraft,3135.00
Arduino CNC Shield V3 Engraving Machine Expansion Board A4988 Driver for Arduino Compatible 3D Printer,166.00
Arduino D1 Mini V2 NodeMcu 4M Bytes Lua WIFI Internet Development Board Based On ESP8266 4MB FLASH ESP-12S Chip,293.00
Arduino Mega 2560 R3 ATmega2560-16AU Board with USB Cable,2399.00
Arduino Nano V3 ATMEGA328 Compatible Board With Soldered Header & Cable| Arduino projects (Soldered),792.00
Arduino Nano V3 ATMEGA328 Compatible Board With Soldered Header For Arduino projects (Soldered) W/O Cable,656.00
Arduino Nano V3 ATMEGA328 Compatible Board With Un-Soldered Header (W/O Cable)),816.00
ARDUINO TRAFFIC LIGHT KIT,1068.00
Arduino Uno R3 Development Board ATmega328P With USB Cable,1179.00
"Arduino Uno R3 Development Microcontroller Board SMD Version With Cable, Blue, Pack of 1",636.00
ARDUINO UNO/MEGA2560 CABLE,51.00
AVR ATMEGA USBASP PROGRAMMER USBISP ISP For ATMEL ATTINY Microcontrollers 3.3V/5V With Cable,277.00
B20 BUZZER,37.00
"Basic Breadboard Kit With Lcd 16x2, Mb102 Breadboard, Power Supply and Jumper Wire, Multi Colour",479.00
"Basic Starter Science kit for iduino with UNO R3, Breadboard, LED, Resistor,Jumper Wires and Power Supply",2030.00
BC546 NPN General Purpose Transistor,3.00
BC547 NPN DIP Transistor,2.00
BC548 NPN General Purpose Transistor,2.00
BC548 Transistor NPN TO-92 30V 100ma General Purpose Transistors,4.00
BC557 PNP General Purpose Transistor,2.00
BC557 PNP General Purpose Transistor 45V 100mA,9.00
BD139 NPN Bipolar Medium Power Transistor,10.00
BD140 PNP Transistor,7.00
BMP280 Barometric Pressure and Altitude Sensor I2C/SPI Module,152.00
"Breadboard Kit With 840 Points Bread or Solderless Circuit Test Board With Jumper Wires Set ( M-M, F-F, M-F) 120pcs",250.00
Burton Custom Freestyle 151,0.00
Capacitor Kit: 18 Values Ultimate Capacitor Kit (Pack of 555),496.00
CC3D 32 bits EVO Flight Controller For RC Multirotor,1674.00
CD4017BE Decade Counter IC DIP-16 Package,18.00
