Name,Price
Simonk 30A ESC Electronic Speed Controller (Set of 4),2224.00
F550 AirFrame Hexacopter Frame with Integrated PCB,2155.00
APM 2.8 Flight Controller 2.5 2.6 Upgraded with Built-in Compass for Multi copter RC Drone Aircraft,3135.00
FlySky FS-i6 2.4GHz 6CH PPM RC Transmitter With FS-iA6B Receiver,5689.00
KK 2.1 Multi-rotor LCD Flight Controller with 6050MPU and Atmel 644PA,3200.00
"1045/1045R CW CCW Propeller Black, Set of 5",346.00
"1045/1045R CW CCW Propeller, Black, Set of 2",141.00
A2212 1400KV BLDC Motor (Set of 4),2290.00
A2212 1000KV Brushless DC Motor (Set of 4),2290.00
A2212 1400KV BLDC Motor and 30A ESC Electric Speed Controller with 1045 Propeller Set,1198.00
A2212 1400KV BLDC Motor And 30A ESC (Set of 4),4200.00
A2212 1000KV Brushless DC Motor With 30A ESC (Set of 4),4260.00
A2212 1400KV Brushless DC Motor (4 Pcs) And 30A ESC (Simonk) (4 Pcs) With 1045 Propeller (2 Set),4415.00
4 Pcs x A2212 1400KV Brushless DC Motor and 4 Pcs x 30A ESC With 2 Sets x 1045 Propeller,4715.00
A2212 1400KV BLDC Motor and 30A ESC Electric Speed Controller,1168.00
A2212 1000KV Brushless DC Motor With 30A ESC,1015.00
Quadcopter Frame Kit With 4 x A2212 KV1000 Brushless Motor and 4 x 30A ESC and 2 Pair 1045 Propeller (With CT6B Radio Model RC Transmitter & Receiver),9059.00
Quadcopter Frame Kit With 4 x A2212 KV1000 Brushless Motor and 4 x 30A ESC SIMONK and 2 Pair 1045 Propeller (With CT6B and Lipo Battery & B3 Charger),11933.00
DC Motor PWM Speed Control Switch,195.00
30A Brushless DC ESC Simonk Electronic speed controller,565.00
RC Combo Kit 30A Esc Simonk + 1045 Propeller Set + 1000KV Brushless Motor (BLDC),1217.00
RC Combo Kit 30A Esc + 1045 Propeller Set + 1000KV Brushless Motor (BLDC),1198.00
Servo Tester 3Ch Digital Multi Servo Tester Ecs Rc Consistency Ccmp Master Speed Controler Checker Kg301,141.00
F450 Quadcopter 4-Axis Strong Frame (Multicolour),914.00
